bus,jan-09,feb-09,mar-09,apr-09,may-09,jun-09,jul-09,aug-09,sep-09,oct-09,nov-09,dec-09,jan-10,feb-10,mar-10,apr-10,may-10,jun-10,jul-10,aug-10,sep-10,oct-10,nov-10,dec-10,jan-11,feb-11,mar-11,apr-11,may-11,jun-11,jul-11,aug-11,sep-11,oct-11,nov-11,dec-11,jan-12,feb-12,mar-12,apr-12,may-12,jun-12,jul-12,aug-12,sep-12,oct-12,nov-12,dec-12,jan-13,feb-13,mar-13,apr-13,may-13,jun-13,jul-13,aug-13,sep-13,oct-13,nov-13,dec-13,jan-14,feb-14,mar-14,apr-14,may-14,jun-14,jul-14,aug-14,sep-14,oct-14,nov-14,dec-14
2,569966,547716,616230,589644,584780,590456,600256,573385,577029,607933,542080,524385,488049,491240,565815,543524,542552,532246,524301,542749,528305,549159,518384,498282,516945,509548,578603,552575,567738,572846,507612,525584,524881,541445,494679,469454,493087,500811,530578,502346,542420,517455,508385,545330,510938,566297,496318,459861,497654,477384,513622,519404,531149,484389,519622,543469,521308,561427,498890,483689,499199,475172,522435,516772,526154,462138,486274,507598,483520,522189,450160,458019
4,581783,546300,622740,593712,610434,593876,603338,591954,601065,622682,574866,562531,554267,556976,632845,614678,632632,618072,567840,558820,546740,557948,518064,516322,537577,514260,590102,579464,595084,585980,600186,604034,604361,625180,588756,582150,591062,591325,632060,596576,641804,629045,620933,656204,620666,654582,589651,583050,611752,582300,640549,635428,658083,615415,634769,668511,639288,663553,606925,613346,611279,577880,649503,633492,647077,594655,598458,618183,596507,614524,567326,543548
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16168,19717,23872,22465,23006,13331,3715,0,0,0,0,3837,19597,20526,18123,0,17028,14093,0,0,0,0,0,0,24456,22890,16969,22789,28141,18667,4185,0,0,0,0,1408,31505,22511,28547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,342897,334344,387669,366554,364666,364604,349269,338080,365895,380400,337126,325662,304649,317196,374311,357066,351009,351706,314124,313868,336494,334830,317360,308666,316834,323308,370667,339891,361321,358282,310137,323847,352604,357628,332142,320417,330774,342118,361004,333648,366721,337383,302195,351396,335692,372769,327070,300781,336504,325188,347257,364930,371152,317373,322254,359822,361416,388711,331490,333079,335135,331252,359447,352710,366356,309222,314528,341353,345788,367963,327956,318604
14,430831,405708,469810,446124,452703,443058,451408,438232,471200,493920,453818,445894,425216,429248,498603,480594,475488,475838,439052,442430,454739,458252,434360,453144,500433,498604,565045,536225,556164,555900,488520,528164,551873,567007,533297,511668,522524,536348,575043,526274,571044,528373,494564,555913,535534,596164,514240,483849,527125,513760,547349,562236,570642,506489,516115,553092,542242,583509,508360,515842,522072,503532,555115,541410,561806,497670,503884,531798,539174,566946,499255,501412
16,731431,698156,795499,759702,778233,763896,749089,731456,733652,774318,721380,724561,659902,658460,753489,736232,748801,729422,707144,704646,706539,725028,704246,699180,689375,675892,767856,739061,766124,758362,710772,728770,726455,756023,721187,735534,710010,704645,755976,707674,754383,718664,688959,732374,689548,742714,679383,663103,686008,645800,705954,706038,736682,671127,678477,710544,681074,733903,671155,696040,678432,637816,703447,685750,711955,640898,656250,681519,663436,701768,649026,652858
18,735359,692808,790179,758962,760749,745670,753041,737398,742120,777383,710900,708910,676873,664600,766559,732510,738324,734928,689648,689652,682196,692577,669195,653339,666504,645480,730482,706666,734042,724892,679695,696214,688384,703683,660884,668773,660467,665782,716333,665313,710076,681259,656976,697666,652833,703193,642213,622399,654942,620416,674864,677152,693064,642901,665069,682716,645472,686825,621030,632380,633880,605676,664294,646422,659573,604678,621022,621388,599702,633050,576725,586683
20,441273,419504,475718,452476,461515,463482,473996,458840,458656,473227,431788,416525,399972,400640,461415,440184,440308,454308,435009,441453,423194,439636,406744,392000,408210,394756,452653,433275,444671,451464,431142,461211,436419,444269,413667,401089,415762,423434,449852,425929,455111,441055,443301,474564,427201,473769,418906,389694,420232,400204,440523,446578,463229,432781,459087,458227,426186,461273,406415,402372,424384,392364,435286,429642,441522,405166,434932,429701,411982,440032,394837,397686
26,744190,710176,803927,780384,791339,771998,774511,762419,760896,810462,758986,750148,724699,719644,838784,807162,810088,805448,776989,773420,761675,775397,753828,731789,766686,735268,840602,810782,834844,822326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,283319,262140,296032,279830,293280,285156,288289,292956,279391,295410,270528,264965,254761,245868,280975,268724,281666,274172,266190,253947,251362,264911,249532,248398,252167,244456,270222,261311,262993,260354,244026,240576,240316,243062,230002,233089,231249,230330,246288,235581,252382,251194,256561,262401,253279,267582,244320,243830,253240,240068,265371,257170,268668,251912,257438,265366,255116,261495,247100,247782,241200,229608,254149,249238,257740,232281,367228,381770,370233,395036,363931,363459
